,adj1,adj2,adj3,adj4,sum
ENSG00000143816-ENSG00000145423,1.0,0.0,1.0,0.0,1010
ENSG00000066468-ENSG00000070388,1.0,0.0,1.0,0.0,1010
ENSG00000198719-ENSG00000134250,1.0,0.0,1.0,0.0,1010
ENSG00000172349-ENSG00000161509,1.0,0.0,1.0,0.0,1010
ENSG00000114251-ENSG00000156076,1.0,0.0,1.0,0.0,1010
ENSG00000273079-ENSG00000172349,1.0,0.0,0.0,1.0,1001
ENSG00000006128-ENSG00000115353,1.0,0.0,0.0,1.0,1001
ENSG00000146469-ENSG00000106018,1.0,0.0,0.0,1.0,1001
ENSG00000129219-ENSG00000143761,1.0,0.0,0.0,1.0,1001
ENSG00000099617-ENSG00000145242,1.0,0.0,0.0,1.0,1001
ENSG00000169242-ENSG00000135333,1.0,0.0,0.0,1.0,1001
ENSG00000028137-ENSG00000030582,1.0,0.0,0.0,0.0,1000
ENSG00000148053-ENSG00000074527,1.0,0.0,0.0,0.0,1000
ENSG00000111186-ENSG00000156076,1.0,0.0,0.0,0.0,1000
ENSG00000134245-ENSG00000156076,1.0,0.0,0.0,0.0,1000
ENSG00000156427-ENSG00000066468,1.0,0.0,0.0,0.0,1000
ENSG00000141433-ENSG00000106018,1.0,0.0,0.0,0.0,1000
ENSG00000105989-ENSG00000145423,1.0,0.0,0.0,0.0,1000
ENSG00000115138-ENSG00000112038,1.0,0.0,0.0,0.0,1000
ENSG00000184371-ENSG00000008300,1.0,0.0,0.0,0.0,1000
ENSG00000134259-ENSG00000134243,1.0,0.0,0.0,0.0,1000
ENSG00000187266-ENSG00000049130,1.0,0.0,0.0,0.0,1000
ENSG00000162706-ENSG00000177707,1.0,0.0,0.0,0.0,1000
ENSG00000197635-ENSG00000107562,1.0,0.0,0.0,0.0,1000
ENSG00000176697-ENSG00000134243,0.0,1.0,1.0,1.0,111
ENSG00000169418-ENSG00000163273,0.0,1.0,1.0,1.0,111
ENSG00000128271-ENSG00000105835,0.0,1.0,1.0,1.0,111
ENSG00000154928-ENSG00000090776,0.0,1.0,1.0,1.0,111
ENSG00000113578-ENSG00000066468,0.0,1.0,1.0,1.0,111
ENSG00000136487-ENSG00000112964,0.0,1.0,1.0,1.0,111
ENSG00000146469-ENSG00000197635,0.0,1.0,1.0,1.0,111
ENSG00000118785-ENSG00000026508,0.0,1.0,1.0,1.0,111
ENSG00000072274-ENSG00000091513,0.0,1.0,1.0,1.0,111
ENSG00000167244-ENSG00000197081,0.0,1.0,1.0,1.0,111
ENSG00000167244-ENSG00000119912,0.0,1.0,1.0,1.0,111
ENSG00000101327-ENSG00000116329,0.0,1.0,1.0,1.0,111
ENSG00000116106-ENSG00000090776,0.0,1.0,1.0,1.0,111
ENSG00000142192-ENSG00000137642,0.0,1.0,1.0,0.0,110
ENSG00000099617-ENSG00000135333,0.0,1.0,1.0,0.0,110
ENSG00000169836-ENSG00000166863,0.0,1.0,1.0,0.0,110
ENSG00000165197-ENSG00000128052,0.0,1.0,1.0,0.0,110
ENSG00000182985-ENSG00000177707,0.0,1.0,1.0,0.0,110
ENSG00000180616-ENSG00000157005,0.0,1.0,1.0,0.0,110
ENSG00000148400-ENSG00000136999,0.0,1.0,1.0,0.0,110
ENSG00000105894-ENSG00000171094,0.0,1.0,1.0,0.0,110
ENSG00000161610-ENSG00000137252,0.0,1.0,0.0,1.0,101
ENSG00000181195-ENSG00000082556,0.0,1.0,0.0,1.0,101
ENSG00000196576-ENSG00000105894,0.0,1.0,0.0,0.0,100
ENSG00000064300-ENSG00000176697,0.0,1.0,0.0,0.0,100
ENSG00000162706-ENSG00000182985,0.0,0.0,1.0,1.0,11
ENSG00000183454-ENSG00000172349,0.0,0.0,1.0,1.0,11
ENSG00000169242-ENSG00000145242,0.0,0.0,1.0,1.0,11
ENSG00000162552-ENSG00000156076,0.0,0.0,1.0,0.0,10
ENSG00000019582-ENSG00000240972,0.0,0.0,1.0,0.0,10
ENSG00000143816-ENSG00000156076,0.0,0.0,1.0,0.0,10
ENSG00000133636-ENSG00000134243,0.0,0.0,1.0,0.0,10
ENSG00000196411-ENSG00000090776,0.0,0.0,1.0,0.0,10
ENSG00000019582-ENSG00000142192,0.0,0.0,1.0,0.0,10
ENSG00000115138-ENSG00000116329,0.0,0.0,1.0,0.0,10
ENSG00000019582-ENSG00000122218,0.0,0.0,0.0,1.0,1
ENSG00000188064-ENSG00000145423,0.0,0.0,0.0,1.0,1
ENSG00000158955-ENSG00000162998,0.0,0.0,0.0,0.0,0
ENSG00000134250-ENSG00000018236,0.0,0.0,0.0,0.0,0
ENSG00000099617-ENSG00000116106,0.0,0.0,0.0,0.0,0
ENSG00000196411-ENSG00000108947,0.0,0.0,0.0,0.0,0
ENSG00000184371-ENSG00000139514,0.0,0.0,0.0,0.0,0
ENSG00000148346-ENSG00000092096,0.0,0.0,0.0,0.0,0
ENSG00000105989-ENSG00000156076,0.0,0.0,0.0,0.0,0
ENSG00000120057-ENSG00000115596,0.0,0.0,0.0,0.0,0
ENSG00000158955-ENSG00000120057,0.0,0.0,0.0,0.0,0
ENSG00000278195-ENSG00000157005,0.0,0.0,0.0,0.0,0
ENSG00000145423-ENSG00000115596,0.0,0.0,0.0,0.0,0
ENSG00000158955-ENSG00000145423,0.0,0.0,0.0,0.0,0
ENSG00000182578-ENSG00000184371,0.0,0.0,0.0,0.0,0
ENSG00000185652-ENSG00000148053,0.0,0.0,0.0,0.0,0
ENSG00000162998-ENSG00000115596,0.0,0.0,0.0,0.0,0
ENSG00000013725-ENSG00000170017,0.0,0.0,0.0,0.0,0
ENSG00000118271-ENSG00000064300,0.0,0.0,0.0,0.0,0
ENSG00000149294-ENSG00000168621,0.0,0.0,0.0,0.0,0
ENSG00000072274-ENSG00000102524,0.0,0.0,0.0,0.0,0
ENSG00000156427-ENSG00000068078,0.0,0.0,0.0,0.0,0
ENSG00000101200-ENSG00000180914,0.0,0.0,0.0,0.0,0
ENSG00000130283-ENSG00000164270,0.0,0.0,0.0,0.0,0
ENSG00000169242-ENSG00000116106,0.0,0.0,0.0,0.0,0
ENSG00000104332-ENSG00000115596,0.0,0.0,0.0,0.0,0
ENSG00000158955-ENSG00000104332,0.0,0.0,0.0,0.0,0
ENSG00000188064-ENSG00000156076,0.0,0.0,0.0,0.0,0
ENSG00000154764-ENSG00000156076,0.0,0.0,0.0,0.0,0
ENSG00000137642-ENSG00000163377,0.0,0.0,0.0,0.0,0
ENSG00000154134-ENSG00000184613,0.0,0.0,0.0,0.0,0
ENSG00000185652-ENSG00000140538,0.0,0.0,0.0,0.0,0
ENSG00000115138-ENSG00000082556,0.0,0.0,0.0,0.0,0
